Subject	SampleID	FileInput	Sequencing	SequencingTwoState	SelectionTavanasa	SelectionVals	TavanasaAndValsAll	TavanasaAndValsAPS	Larvae	APSVals	APSTavanasa	SelectionMilt	SelectionWater	SelectionSkins	SelectionBodyparts	SampleIDCAN	SeqConc	SeqPlateRow	SeqPlateColumn	NewIDs	SampleID2	Tissue	concentration	Treatment	TreatmentOriginal	ValsTissues	96well	Population	Extraction	FishID2	Tissue2	Original	Extraction	Number	Origin	Family
LW90-28	LW90	LW90-28_S151_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	Vals	yes	no	no	no	no	sperm	no	no	sperm	LW90	NA	2	12	LW90Extraction28	T32	sperm	low	Milt	Milt	Milt	1	Vals	Extraction28	T32	sperm	Extraction28	Vals	NA		
LW91-21	LW91	LW91-21_S152_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	Vals	yes	no	no	no	no	sperm	no	no	sperm	LW91	NA	3	12	LW91Extraction21	T33	sperm	low	Milt	Milt	Milt	1	Vals	Extraction21	T33	sperm	Extraction21	Vals	NA		
LW92-9	LW92	LW92-9_S153_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	Vals	yes	no	no	no	no	sperm	no	no	sperm	LW92	NA	4	12	LW92Extraction9	T34	sperm	low	Milt	Milt	Milt	1	Vals	Extraction9	T34	sperm	Extraction9	Vals	NA		
LW93-10	LW93	LW93-10_S154_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	Vals	yes	no	no	no	no	sperm	no	no	sperm	LW93	NA	5	12	LW93Extraction10	T35	sperm	low	Milt	Milt	Milt	1	Vals	Extraction10	T35	sperm	Extraction10	Vals	NA		
LW94-11	LW94	LW94-11_S155_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	Vals	yes	no	no	no	no	sperm	no	no	sperm	LW94	NA	6	12	LW94Extraction11	T36	sperm	low	Milt	Milt	Milt	1	Vals	Extraction11	T36	sperm	Extraction11	Vals	NA		
LW95-12	LW95	LW95-12_S156_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	Vals	yes	no	no	no	no	sperm	no	no	sperm	LW95	NA	7	12	LW95Extraction12	T37	sperm	low	Milt	Milt	Milt	1	Vals	Extraction12	T37	sperm	Extraction12	Vals	NA		
LW97-13	LW97	LW97-13_S157_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	Vals	yes	no	no	no	no	sperm	no	no	sperm	LW97	NA	1	1	LW97Extraction13	T38	sperm	low	Milt	Milt	Milt	2	Vals	Extraction13	T38	sperm	Extraction13	Vals	NA		
LW98-14	LW98	LW98-14_S158_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	Vals	yes	no	no	no	no	sperm	no	no	sperm	LW98	NA	2	1	LW98Extraction14	T39	sperm	low	Milt	Milt	Milt	2	Vals	Extraction14	T39	sperm	Extraction14	Vals	NA		
LW99-15	LW99	LW99-15_S159_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	Vals	yes	no	no	no	no	sperm	no	no	sperm	LW99	NA	3	1	LW99Extraction15	T40	sperm	low	Milt	Milt	Milt	2	Vals	Extraction15	T40	sperm	Extraction15	Vals	NA		
LW166-Extraction1	LW166	LW166-Extraction1_S165_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	no	no	no	no	no	no	skin	skin	LW166	MB10to20	6	9	LW166Extraction1	Extraction1	skin	veryLow	SkinCripple	SkinCripple	SkinCripple	2	Vals	Extraction1	T54	skin	Extraction1	Vals	NA		
LW167-Extraction2	LW167	LW167-Extraction2_S177_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	no	no	no	no	no	no	skin	skin	LW167	2MB	7	9	LW167Extraction2	Extraction2	skin	veryLow	SkinCripple	SkinCripple	SkinCripple	2	Vals	Extraction2	T57	skin	Extraction2	Vals	NA		
LW168-Extraction3	LW168	LW168-Extraction3_S189_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	no	no	no	no	no	no	skin	skin	LW168	2MB	8	9	LW168Extraction3	Extraction3	skin	veryLow	SkinCripple	SkinCripple	SkinCripple	2	Vals	Extraction3	T59	skin	Extraction3	Vals	NA		
LW169-Extraction4	LW169	LW169-Extraction4_S106_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	no	no	no	no	no	no	skin	skin	LW169	2MB	1	10	LW169Extraction4	Extraction4	skin	veryLow	SkinCripple	SkinCripple	SkinCripple	2	Vals	Extraction4	T62	skin	Extraction4	Vals	NA		
LW171-Extraction6	LW171	LW171-Extraction6_S130_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	no	no	no	no	no	no	skin	skin	LW171	MB10to20	3	10	LW171Extraction6	Extraction6	skin	veryLow	SkinCripple	SkinCripple	SkinCripple	2	Vals	Extraction6	T65	skin	Extraction6	Vals	NA		
LW172-Extraction181	LW172	LW172-Extraction181_S142_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	no	no	no	no	no	no	skin	skin	LW172	MB20	4	10	LW172Extraction181	NA	skin	veryLow	SkinFemale	SkinFemale	SkinFemale	2	Vals	Extraction181	T92	skin	Extraction181	Vals	NA		
LW173-Extraction182	LW173	LW173-Extraction182_S154_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	no	no	no	no	no	no	skin	skin	LW173	MB20	5	10	LW173Extraction182	NA	skin	veryLow	SkinFemale	SkinFemale	SkinFemale	2	Vals	Extraction182	T93	skin	Extraction182	Vals	NA		
LW174-Extraction183	LW174	LW174-Extraction183_S166_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	no	no	no	no	no	no	skin	skin	LW174	MB20	6	10	LW174Extraction183	NA	skin	veryLow	SkinFemale	SkinFemale	SkinFemale	2	Vals	Extraction183	T94	skin	Extraction183	Vals	NA		
LW175-Extraction184	LW175	LW175-Extraction184_S178_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	no	no	no	no	no	no	skin	skin	LW175	MB20	7	10	LW175Extraction184	NA	skin	veryLow	SkinFemale	SkinFemale	SkinFemale	2	Vals	Extraction184	T95	skin	Extraction184	Vals	NA		
LW176-Extraction185	LW176	LW176-Extraction185_S190_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	no	no	no	no	no	no	skin	skin	LW176	MB20	8	10	LW176Extraction185	T42	skin	veryLow	SkinFemale	SkinFemale	SkinFemale	2	Vals	Extraction185	T42	skin	Extraction185	Vals	NA		
LW177-Extraction186	LW177	LW177-Extraction186_S107_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	no	no	no	no	no	no	skin	skin	LW177	MB10to20	1	11	LW177Extraction186	T41	skin	veryLow	SkinFemale	SkinFemale	SkinFemale	2	Vals	Extraction186	T41	skin	Extraction186	Vals	NA		
LW178-Extraction187	LW178	LW178-Extraction187_S119_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	no	no	no	no	no	no	skin	skin	LW178	MB20	2	11	LW178Extraction187	T31	skin	veryLow	SkinMale	SkinMale	SkinMale	2	Vals	Extraction187	T31	skin	Extraction187	Vals	F21		
LW179-Extraction188	LW179	LW179-Extraction188_S131_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	no	no	no	no	no	no	skin	skin	LW179	MB20	3	11	LW179Extraction188	T32	skin	veryLow	SkinMale	SkinMale	SkinMale	2	Vals	Extraction188	T32	skin	Extraction188	Vals	F22		
LW180-Extraction189	LW180	LW180-Extraction189_S143_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	no	no	no	no	no	no	skin	skin	LW180	MB10to20	4	11	LW180Extraction189	T33	skin	veryLow	SkinMale	SkinMale	SkinMale	2	Vals	Extraction189	T33	skin	Extraction189	Vals	F23		
LW181-Extraction190	LW181	LW181-Extraction190_S155_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	no	no	no	no	no	no	skin	skin	LW181	MB20	5	11	LW181Extraction190	T38	skin	veryLow	SkinMale	SkinMale	SkinMale	2	Vals	Extraction190	T38	skin	Extraction190	Vals	F28		
LW182-Extraction191	LW182	LW182-Extraction191_S167_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	no	no	no	no	no	no	skin	skin	LW182	2MB	6	11	LW182Extraction191	T39	skin	veryLow	SkinMale	SkinMale	SkinMale	2	Vals	Extraction191	T39	skin	Extraction191	Vals	F29		
LW183-Extraction192	LW183	LW183-Extraction192_S179_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	no	no	no	no	no	no	skin	skin	LW183	2MB	7	11	LW183Extraction192	T40	skin	veryLow	SkinMale	SkinMale	SkinMale	2	Vals	Extraction192	T40	skin	Extraction192	Vals	F30		
LW33-Extraction173	LW33	LW33-Extraction173_S5_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	no	no	no	no	no	water	no	no	LW33	2MB	1	5	LW33Extraction173	Vals	tankWater	veryLow	tankWater	tankWater	tankWater	1	Vals	Extraction173	NA	tankWater	Extraction173	Vals	NA		
LW132-Extraction149	LW132	LW132-Extraction149_S137_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	no	no	no	no	no	water	no	no	LW132	2MB	4	5	LW132Extraction149	F23	wellWater	veryLow	wellWater	wellWater	wellWater	2	Vals	Extraction149	T38	wellWater	Extraction149	Vals	F28		
LW130-145	LW130	LW130-145_S108_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	Vals	yes	no	no	no	no	no	water	no	no	LW130	NA	2	5	LW130Extraction145	F21	wellWater	veryLow	wellWater	wellWater	wellWater	2	Vals	Extraction145	T31	wellWater	Extraction145	Vals	F21		
LW131-146	LW131	LW131-146_S109_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	Vals	yes	no	no	no	no	no	water	no	no	LW131	NA	3	5	LW131Extraction146	F22	wellWater	veryLow	wellWater	wellWater	wellWater	2	Vals	Extraction146	T32	wellWater	Extraction146	Vals	F22		
LW134-148	LW134	LW134-148_S110_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	Vals	yes	no	no	no	no	no	water	no	no	LW134	NA	6	5	LW134Extraction148	F22	wellWater	veryLow	wellWater	wellWater	wellWater	2	Vals	Extraction148	T32	wellWater	Extraction148	Vals	F22b		
LW135-150	LW135	LW135-150_S111_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	Vals	yes	no	no	no	no	no	water	no	no	LW135	NA	7	5	LW135Extraction150	F23	wellWater	veryLow	wellWater	wellWater	wellWater	2	Vals	Extraction150	T38	wellWater	Extraction150	Vals	F28b		
